task_id,task_name,phase,duration_days,equipment_tag,predecessors,float_days,is_critical
T-0335,BMS Sensor Installation (Zone 5),LOW_VOLTAGE,14,FIBER-05,T-0334,187,0
T-0336,Network Cabinet Assembly (Row 6),LOW_VOLTAGE,22,PATCH-06,T-0335,187,0
T-0337,Fiber Optic Backbone Installation #7,LOW_VOLTAGE,25,FIBER-07,T-0336,187,0
T-0338,Structured Cabling (Floor 8),LOW_VOLTAGE,8,RACK-08,T-0337,187,0
T-0339,Security Camera System #9,LOW_VOLTAGE,6,PATCH-09,T-0338,187,0
T-0340,Access Control Panel Installation #10,LOW_VOLTAGE,3,RACK-10,T-0339,187,0
T-0341,BMS Sensor Installation (Zone 11),LOW_VOLTAGE,21,PATCH-11,T-0340,187,0
T-0342,Network Cabinet Assembly (Row 12),LOW_VOLTAGE,15,RACK-12,T-0341,187,0
T-0343,Fiber Optic Backbone Installation #13,LOW_VOLTAGE,25,FIBER-13,T-0342,187,0
T-0344,Structured Cabling (Floor 14),LOW_VOLTAGE,5,PATCH-14,,389,0
T-0345,Security Camera System #15,LOW_VOLTAGE,25,PATCH-15,,369,0
T-0346,Access Control Panel Installation #16,LOW_VOLTAGE,10,FIBER-16,,384,0
T-0347,BMS Sensor Installation (Zone 17),LOW_VOLTAGE,25,RACK-17,,369,0
T-0348,Network Cabinet Assembly (Row 18),LOW_VOLTAGE,24,PATCH-18,,370,0
T-0349,Fiber Optic Backbone Installation #19,LOW_VOLTAGE,6,PATCH-19,,388,0
T-0350,Structured Cabling (Floor 20),LOW_VOLTAGE,4,RACK-20,,390,0
T-0351,Security Camera System #21,LOW_VOLTAGE,20,RACK-21,,374,0
T-0352,Access Control Panel Installation #22,LOW_VOLTAGE,24,RACK-22,,370,0
T-0353,BMS Sensor Installation (Zone 23),LOW_VOLTAGE,5,PATCH-23,,389,0
T-0354,Network Cabinet Assembly (Row 24),LOW_VOLTAGE,23,RACK-24,,371,0
T-0355,Fiber Optic Backbone Installation #25,LOW_VOLTAGE,3,RACK-25,,391,0
T-0356,Structured Cabling (Floor 26),LOW_VOLTAGE,18,FIBER-26,,376,0
T-0357,Security Camera System #27,LOW_VOLTAGE,16,RACK-27,,378,0
T-0358,Access Control Panel Installation #28,LOW_VOLTAGE,23,RACK-28,,371,0
T-0359,BMS Sensor Installation (Zone 29),LOW_VOLTAGE,25,FIBER-29,,369,0
T-0360,Network Cabinet Assembly (Row 30),LOW_VOLTAGE,16,FIBER-30,,378,0
T-0361,Fiber Optic Backbone Installation #31,LOW_VOLTAGE,19,PATCH-31,,375,0
T-0362,Structured Cabling (Floor 32),LOW_VOLTAGE,11,PATCH-32,,383,0
T-0363,Security Camera System #33,LOW_VOLTAGE,20,RACK-33,,374,0
T-0364,Access Control Panel Installation #34,LOW_VOLTAGE,17,RACK-34,,377,0
T-0365,BMS Sensor Installation (Zone 35),LOW_VOLTAGE,21,RACK-35,,373,0
T-0366,Network Cabinet Assembly (Row 36),LOW_VOLTAGE,13,FIBER-36,,381,0
T-0367,Fiber Optic Backbone Installation #37,LOW_VOLTAGE,5,RACK-37,,389,0
T-0368,Structured Cabling (Floor 38),LOW_VOLTAGE,17,FIBER-38,,377,0
T-0369,Security Camera System #39,LOW_VOLTAGE,17,PATCH-39,,377,0
T-0370,Access Control Panel Installation #40,LOW_VOLTAGE,22,PATCH-40,,139,0
T-0371,CW Loop Flush & Chemical Treatment #1,COOLING,15,CRAC-C-01,T-0370,139,0
T-0372,CDU Installation & Commissioning #2,COOLING,3,CRAC-C-02,T-0371,139,0
T-0373,Precision Cooling Unit Integration #3,COOLING,13,CDU-03,T-0372,139,0
T-0374,Adiabatic Cooling System #4,COOLING,18,CDU-04,T-0373,139,0
T-0375,Thermal Storage Tank Installation #5,COOLING,14,CRAC-C-05,T-0374,139,0
T-0376,CW Loop Flush & Chemical Treatment #6,COOLING,13,CRAC-C-06,T-0375,139,0
T-0377,CDU Installation & Commissioning #7,COOLING,22,CTW-07,T-0376,139,0
T-0378,Precision Cooling Unit Integration #8,COOLING,11,CTW-08,T-0377,139,0
T-0379,Adiabatic Cooling System #9,COOLING,3,CTW-09,T-0378,139,0
T-0380,Thermal Storage Tank Installation #10,COOLING,9,CDU-10,T-0379,139,0
T-0381,CW Loop Flush & Chemical Treatment #11,COOLING,10,CTW-11,T-0380,139,0
T-0382,CDU Installation & Commissioning #12,COOLING,16,CRAC-C-12,T-0381,139,0
T-0383,Precision Cooling Unit Integration #13,COOLING,20,CDU-13,T-0382,139,0
T-0384,Adiabatic Cooling System #14,COOLING,25,CRAC-C-14,T-0383,139,0
T-0385,Thermal Storage Tank Installation #15,COOLING,23,CTW-15,T-0384,139,0
T-0386,CW Loop Flush & Chemical Treatment #16,COOLING,18,CRAC-C-16,T-0385,139,0
T-0387,CDU Installation & Commissioning #17,COOLING,3,CDU-17,,391,0
T-0388,Precision Cooling Unit Integration #18,COOLING,12,CDU-18,,382,0
T-0389,Adiabatic Cooling System #19,COOLING,15,CTW-19,,379,0
T-0390,Thermal Storage Tank Installation #20,COOLING,10,CRAC-C-20,,384,0
T-0391,CW Loop Flush & Chemical Treatment #21,COOLING,24,CTW-21,,370,0
T-0392,CDU Installation & Commissioning #22,COOLING,14,CRAC-C-22,,380,0
T-0393,Precision Cooling Unit Integration #23,COOLING,20,CTW-23,,374,0
T-0394,Adiabatic Cooling System #24,COOLING,14,CRAC-C-24,,380,0
T-0395,Thermal Storage Tank Installation #25,COOLING,20,CRAC-C-25,,374,0
T-0396,CW Loop Flush & Chemical Treatment #26,COOLING,14,CTW-26,,380,0
T-0397,CDU Installation & Commissioning #27,COOLING,17,CRAC-C-27,,377,0
T-0398,Precision Cooling Unit Integration #28,COOLING,12,CRAC-C-28,,382,0
T-0399,Adiabatic Cooling System #29,COOLING,10,CDU-29,,384,0
T-0400,Thermal Storage Tank Installation #30,COOLING,9,CRAC-C-30,,385,0
T-0401,CW Loop Flush & Chemical Treatment #31,COOLING,6,CTW-31,,388,0
T-0402,CDU Installation & Commissioning #32,COOLING,20,CTW-32,,374,0
T-0403,Precision Cooling Unit Integration #33,COOLING,8,CDU-33,,386,0
T-0404,Adiabatic Cooling System #34,COOLING,9,CTW-34,,385,0
T-0405,Thermal Storage Tank Installation #35,COOLING,18,CRAC-C-35,,376,0
T-0406,CW Loop Flush & Chemical Treatment #36,COOLING,21,CTW-36,,373,0
T-0407,CDU Installation & Commissioning #37,COOLING,22,CRAC-C-37,,372,0
T-0408,Precision Cooling Unit Integration #38,COOLING,6,CDU-38,,388,0
T-0409,Adiabatic Cooling System #39,COOLING,12,CDU-39,,382,0
T-0410,Thermal Storage Tank Installation #40,COOLING,14,CDU-40,,380,0
T-0411,CW Loop Flush & Chemical Treatment #41,COOLING,12,CDU-41,,382,0
T-0412,CDU Installation & Commissioning #42,COOLING,25,CTW-42,,369,0
T-0413,Precision Cooling Unit Integration #43,COOLING,7,CRAC-C-43,,387,0
T-0414,Adiabatic Cooling System #44,COOLING,4,CDU-44,,390,0
T-0415,Thermal Storage Tank Installation #45,COOLING,20,CRAC-C-45,,374,0
T-0416,CW Loop Flush & Chemical Treatment #46,COOLING,25,CDU-46,,369,0
T-0417,CDU Installation & Commissioning #47,COOLING,23,CRAC-C-47,,371,0
T-0418,Precision Cooling Unit Integration #48,COOLING,6,CDU-48,,388,0
T-0419,Adiabatic Cooling System #49,COOLING,21,CRAC-C-49,,373,0
T-0420,Thermal Storage Tank Installation #50,COOLING,18,CRAC-C-50,,171,0
T-0421,Factory Acceptance Testing (FAT) - UPS #1,COMMISSIONING,17,ISCX-01,T-0420,171,0
T-0422,Site Acceptance Testing (SAT) - Cooling #2,COMMISSIONING,8,CX-02,T-0421,171,0
T-0423,Integrated Systems Test (IST) - Power #3,COMMISSIONING,11,ISCX-03,T-0422,171,0
T-0424,Tier III Uptime Institute Verification #4,COMMISSIONING,6,CX-04,T-0423,171,0
T-0425,ASHRAE 90.4 Energy Baseline Check #5,COMMISSIONING,15,ISCX-05,T-0424,171,0
T-0426,Generator Load Bank Testing #6,COMMISSIONING,5,CX-06,T-0425,171,0
T-0427,Hot/Cold Aisle Containment Verification #7,COMMISSIONING,7,CX-07,T-0426,171,0
T-0428,Network Latency Baseline #8,COMMISSIONING,21,ISCX-08,T-0427,171,0
T-0429,Factory Acceptance Testing (FAT) - UPS #9,COMMISSIONING,5,CX-09,T-0428,171,0
T-0430,Site Acceptance Testing (SAT) - Cooling #10,COMMISSIONING,6,ISCX-10,T-0429,171,0
T-0431,Integrated Systems Test (IST) - Power #11,COMMISSIONING,22,CX-11,T-0430,171,0
T-0432,Tier III Uptime Institute Verification #12,COMMISSIONING,19,ISCX-12,T-0431,171,0
T-0433,ASHRAE 90.4 Energy Baseline Check #13,COMMISSIONING,17,ISCX-13,T-0432,171,0
T-0434,Generator Load Bank Testing #14,COMMISSIONING,12,ISCX-14,T-0433,171,0
T-0435,Hot/Cold Aisle Containment Verification #15,COMMISSIONING,12,CX-15,T-0434,171,0
T-0436,Network Latency Baseline #16,COMMISSIONING,22,CX-16,T-0435,171,0
T-0437,Factory Acceptance Testing (FAT) - UPS #17,COMMISSIONING,9,CX-17,,385,0
T-0438,Site Acceptance Testing (SAT) - Cooling #18,COMMISSIONING,11,CX-18,,383,0
T-0439,Integrated Systems Test (IST) - Power #19,COMMISSIONING,8,CX-19,,386,0
T-0440,Tier III Uptime Institute Verification #20,COMMISSIONING,8,CX-20,,386,0
T-0441,ASHRAE 90.4 Energy Baseline Check #21,COMMISSIONING,8,CX-21,,386,0
T-0442,Generator Load Bank Testing #22,COMMISSIONING,16,ISCX-22,,378,0
T-0443,Hot/Cold Aisle Containment Verification #23,COMMISSIONING,25,ISCX-23,,369,0
T-0444,Network Latency Baseline #24,COMMISSIONING,12,CX-24,,382,0
T-0445,Factory Acceptance Testing (FAT) - UPS #25,COMMISSIONING,10,ISCX-25,,384,0
T-0446,Site Acceptance Testing (SAT) - Cooling #26,COMMISSIONING,25,ISCX-26,,369,0
T-0447,Integrated Systems Test (IST) - Power #27,COMMISSIONING,25,ISCX-27,,369,0
T-0448,Tier III Uptime Institute Verification #28,COMMISSIONING,5,CX-28,,389,0
T-0449,ASHRAE 90.4 Energy Baseline Check #29,COMMISSIONING,11,CX-29,,383,0
T-0450,Generator Load Bank Testing #30,COMMISSIONING,16,CX-30,,378,0
T-0451,Hot/Cold Aisle Containment Verification #31,COMMISSIONING,20,CX-31,,374,0
T-0452,Network Latency Baseline #32,COMMISSIONING,23,CX-32,,371,0
T-0453,Factory Acceptance Testing (FAT) - UPS #33,COMMISSIONING,11,CX-33,,383,0
T-0454,Site Acceptance Testing (SAT) - Cooling #34,COMMISSIONING,5,CX-34,,389,0
T-0455,Integrated Systems Test (IST) - Power #35,COMMISSIONING,8,ISCX-35,,386,0
T-0456,Tier III Uptime Institute Verification #36,COMMISSIONING,22,ISCX-36,,372,0
T-0457,ASHRAE 90.4 Energy Baseline Check #37,COMMISSIONING,17,CX-37,,377,0
T-0458,Generator Load Bank Testing #38,COMMISSIONING,17,ISCX-38,,377,0
T-0459,Hot/Cold Aisle Containment Verification #39,COMMISSIONING,25,ISCX-39,,369,0
T-0460,Network Latency Baseline #40,COMMISSIONING,11,ISCX-40,,383,0
T-0461,Factory Acceptance Testing (FAT) - UPS #41,COMMISSIONING,17,CX-41,,377,0
T-0462,Site Acceptance Testing (SAT) - Cooling #42,COMMISSIONING,22,CX-42,,372,0
T-0463,Integrated Systems Test (IST) - Power #43,COMMISSIONING,16,ISCX-43,,378,0
T-0464,Tier III Uptime Institute Verification #44,COMMISSIONING,22,ISCX-44,,372,0
T-0465,ASHRAE 90.4 Energy Baseline Check #45,COMMISSIONING,3,CX-45,,391,0
T-0466,Generator Load Bank Testing #46,COMMISSIONING,10,CX-46,,384,0
T-0467,Hot/Cold Aisle Containment Verification #47,COMMISSIONING,24,ISCX-47,,370,0
T-0468,Network Latency Baseline #48,COMMISSIONING,21,CX-48,,373,0
T-0469,Factory Acceptance Testing (FAT) - UPS #49,COMMISSIONING,8,ISCX-49,,386,0
T-0470,Site Acceptance Testing (SAT) - Cooling #50,COMMISSIONING,19,ISCX-50,,228,0
T-0471,As-Built Drawing Compilation #1,CLOSEOUT,11,DOC-01,T-0470,228,0
T-0472,O&M Manual Handover #2,CLOSEOUT,21,AS-BUILT-02,T-0471,228,0
T-0473,Final Punch List Closeout #3,CLOSEOUT,23,AS-BUILT-03,T-0472,228,0
T-0474,Client Witness Testing #4,CLOSEOUT,5,AS-BUILT-04,T-0473,228,0
T-0475,Certificate of Occupancy #5,CLOSEOUT,14,AS-BUILT-05,T-0474,228,0
T-0476,As-Built Drawing Compilation #6,CLOSEOUT,13,AS-BUILT-06,T-0475,228,0
T-0477,O&M Manual Handover #7,CLOSEOUT,24,DOC-07,T-0476,228,0
T-0478,Final Punch List Closeout #8,CLOSEOUT,8,AS-BUILT-08,T-0477,228,0
T-0479,Client Witness Testing #9,CLOSEOUT,16,AS-BUILT-09,T-0478,228,0
T-0480,Certificate of Occupancy #10,CLOSEOUT,12,AS-BUILT-10,T-0479,228,0
T-0481,As-Built Drawing Compilation #11,CLOSEOUT,20,DOC-11,,374,0
T-0482,O&M Manual Handover #12,CLOSEOUT,17,DOC-12,,377,0
T-0483,Final Punch List Closeout #13,CLOSEOUT,13,AS-BUILT-13,,381,0
T-0484,Client Witness Testing #14,CLOSEOUT,13,DOC-14,,381,0
T-0485,Certificate of Occupancy #15,CLOSEOUT,15,DOC-15,,379,0
T-0486,As-Built Drawing Compilation #16,CLOSEOUT,24,AS-BUILT-16,,370,0
T-0487,O&M Manual Handover #17,CLOSEOUT,16,DOC-17,,378,0
T-0488,Final Punch List Closeout #18,CLOSEOUT,9,AS-BUILT-18,,385,0
T-0489,Client Witness Testing #19,CLOSEOUT,22,AS-BUILT-19,,372,0
T-0490,Certificate of Occupancy #20,CLOSEOUT,23,AS-BUILT-20,,371,0
T-0491,As-Built Drawing Compilation #21,CLOSEOUT,4,DOC-21,,390,0
T-0492,O&M Manual Handover #22,CLOSEOUT,11,DOC-22,,383,0
T-0493,Final Punch List Closeout #23,CLOSEOUT,12,AS-BUILT-23,,382,0
T-0494,Client Witness Testing #24,CLOSEOUT,25,AS-BUILT-24,,369,0
T-0495,Certificate of Occupancy #25,CLOSEOUT,6,DOC-25,,388,0
T-0496,As-Built Drawing Compilation #26,CLOSEOUT,23,DOC-26,,371,0
T-0497,O&M Manual Handover #27,CLOSEOUT,25,DOC-27,,369,0
T-0498,Final Punch List Closeout #28,CLOSEOUT,12,DOC-28,,382,0
T-0499,Client Witness Testing #29,CLOSEOUT,20,AS-BUILT-29,,374,0
T-0500,Certificate of Occupancy #30,CLOSEOUT,5,DOC-30,,389,0
